race_number,circle,division,class_name,place_class,place_overall,boat_name,sail_number,design,owner,rating,finish_status,finish_time_utc,elapsed_sec,corrected_sec,elapsed_hms,corrected_hms,finish_local,retire_reason
1,Block Island Course,ORC,Class 11 ORC,5,19,Touch of Grey,USA68750,J/121,Trevor Roach,0.9943,AOK,2026-05-23T22:24:11.000Z,119351.0,118671.0,33:09:11,32:57:51,2026-05-23 22:24:11,
1,Block Island Course,ORC,Class 11 ORC,6,20,Cougar,USA4900,J/160,Leonard Sitar,1.0456,AOK,2026-05-23T20:53:16.000Z,113896.0,119090.0,31:38:16,33:04:50,2026-05-23 20:53:16,
1,Block Island Course,ORC,Class 11 ORC,7,26,Rocksteady,USA60492,Xp 44,Baudoin Lorans,1.0252,AOK,2026-05-23T21:58:57.000Z,117837.0,120806.0,32:43:57,33:33:26,2026-05-23 21:58:57,
1,Block Island Course,ORC,Class 11 ORC,8,28,Fortissimo,USA25,IC37,United States Merchant Marine Academy,1.0338,AOK,2026-05-23T21:48:21.000Z,117201.0,121162.0,32:33:21,33:39:22,2026-05-23 21:48:21,
1,Block Island Course,ORC,Class 11 ORC,9,30,Katara56,CAY 61887,X-Yacht 56,Daniel Griffin,1.0242,AOK,2026-05-23T23:25:06.000Z,123006.0,125983.0,34:10:06,34:59:43,2026-05-23 23:25:06,
1,Block Island Course,ORC,Class 12 ORC,1,32,OC-86,USA 28686,RP 86,Oakcliff Sailing,1.4333,AOK,2026-05-23T14:31:23.000Z,90383.0,129546.0,25:06:23,35:59:06,2026-05-23 14:31:23,
1,Block Island Course,ORC,Class 12 ORC,2,33,Temptation/Oakcliff,USA119,JV 66,Art Santry Oakcliff Sailing,1.3487,AOK,2026-05-23T16:17:15.000Z,96735.0,130466.0,26:52:15,36:14:26,2026-05-23 16:17:15,
1,Block Island Course,PHRF,Class 2 PHRF-DH,1,10,Young American,USA146,J 105,Peter Becker & Adrien Blanc,78.0,AOK,2026-05-24T00:37:09.000Z,131529.0,136133.0,36:32:09,37:48:53,2026-05-24 00:37:09,
1,Block Island Course,PHRF,Class 2 PHRF-DH,2,11,Sunny Side,USA37,J/109,Cary James,66.0,AOK,2026-05-24T00:04:24.000Z,129564.0,136716.0,35:59:24,37:58:36,2026-05-24 00:04:24,
1,Block Island Course,PHRF,Class 2 PHRF-DH,3,15,Midnight Rider - PMP Strategy,511,J/30,Denis Lafarge,138.0,AOK,2026-05-24T04:31:56.000Z,145616.0,137578.0,40:26:56,38:12:58,2026-05-24 04:31:56,
1,Block Island Course,PHRF,Class 4 PHRF,1,3,Cathexis,USA114,X382,Bryan & Kara Schapperle,81.0,AOK,2026-05-23T23:53:11.000Z,128291.0,132153.0,35:38:11,36:42:33,2026-05-23 23:53:11,
1,Block Island Course,PHRF,Class 4 PHRF,2,4,Co-Conspirator,USA48,J/33,Matt Roleke & Trace Dittenhofer,78.0,AOK,2026-05-23T23:47:48.000Z,127968.0,132447.0,35:32:48,36:47:27,2026-05-23 23:47:48,
1,Block Island Course,PHRF,Class 4 PHRF,3,12,Windfall,USA379,Beneteau 46.1,Shawn Bay,93.0,AOK,2026-05-24T01:53:47.000Z,135527.0,137004.0,37:38:47,38:03:24,2026-05-24 01:53:47,
1,Block Island Course,PHRF,Class 4 PHRF,4,17,Tacktile,USA56,Sabre,Jeffrey Wilson,102.0,AOK,2026-05-24T02:58:15.000Z,139395.0,138963.0,38:43:15,38:36:03,2026-05-24 02:58:15,
1,Block Island Course,PHRF,Class 4 PHRF,5,19,FULL TILT,USA200,J/109,Jonathan Thomson,69.0,AOK,2026-05-24T01:16:07.000Z,133267.0,139944.0,37:01:07,38:52:24,2026-05-24 01:16:07,
1,Block Island Course,PHRF,Class 5 PHRF,1,6,DUET,USA51445,J/120,Andrian Lubimov,45.0,AOK,2026-05-23T22:19:31.000Z,122071.0,133350.0,33:54:31,37:02:30,2026-05-23 22:19:31,
1,Block Island Course,PHRF,Class 5 PHRF,2,8,Charlotte,USA46650,J/120,Richard West,51.0,AOK,2026-05-23T22:58:19.000Z,124399.0,134538.0,34:33:19,37:22:18,2026-05-23 22:58:19,
1,Block Island Course,PHRF,Class 5 PHRF,3,13,Flying Lady,USA50197,Swan 46 Mk 1,Phillip Dickey,63.0,AOK,2026-05-24T00:20:14.000Z,129314.0,137125.0,35:55:14,38:05:25,2026-05-24 00:20:14,
1,Block Island Course,PHRF,Class 5 PHRF,4,14,Madison,USA83293,J 120,Brian Spears,42.0,AOK,2026-05-23T23:12:58.000Z,125278.0,137555.0,34:47:58,38:12:35,2026-05-23 23:12:58,
1,Block Island Course,PHRF,Class 5 PHRF,5,16,Speck,USA59916,J/120,William Klein,42.0,AOK,2026-05-23T23:34:18.000Z,126558.0,138961.0,35:09:18,38:36:01,2026-05-23 23:34:18,
1,Block Island Course,PHRF,Class 5 PHRF,6,22,Elan,CGA 10,Nautor Swan 53,US Coast Guard Academy,60.0,AOK,2026-05-24T02:17:01.000Z,136321.0,145264.0,37:52:01,40:21:04,2026-05-24 02:17:01,
1,Block Island Course,PHRF,Class 7 PHRF,1,1,Blitzen,USA46,J130SD,John Storck Jr,33.0,AOK,2026-05-23T21:09:50.000Z,116690.0,130098.0,32:24:50,36:08:18,2026-05-23 21:09:50,
1,Block Island Course,PHRF,Class 7 PHRF,2,2,Lioness,USA38007,Sydney 38,Lion Sailing Sailmakers,24.0,AOK,2026-05-23T20:56:30.000Z,115890.0,131234.0,32:11:30,36:27:14,2026-05-23 20:56:30,
